,word,definition,frequency
1563,ἔλαχος,"
[definition unavailable]
",1
1564,τέσσαρες,"
		four
    	",1
1565,πέμπτος,"
		fifth : with four others
    	",1
1566,πεμπτός,"
		sent
    	",1
1567,λέγω,"
		lay
    	",1
1568,Ἑσπέριος,"
		towards evening,
    	",2
1569,ἑσπέριος,"
		at even, at eventide
    	",2
1570,καλλίθριξ,"
		with beautiful manes
    	",2
1571,καλλίτριχον,"
[definition unavailable]
",2
1572,καλλίτριχος,"
		producing luxuriant hair
    	",2
1573,προσαυδάω,"
		speak to, address, accost
    	",4
1574,κισσύβιον,"
		rustic drinking-cup
    	",1
1575,τῆ,"
		there!
    	",1
1576,τῇ,"
		here, there
    	",1
1577,πῖος,"
		unctuous
    	",1
1578,κεύθω,"
		custos
    	",1
1579,αὗ,"
		bow wow,
    	",1
1580,αὖ,"
		again, anew, afresh, once more,
    	",1
1581,αὖ2,"
		bow wow
    	",1
1582,λοιβή,"
		pouring.
    	",1
1583,ἐλεάω,"
[definition unavailable]
",1
1584,ἐλεέω,"
		to have pity on, show mercy to
    	",1
1585,πέμπω,"
		send
    	",1
1586,μαίνομαι,"
		rage, be furious
    	",1
1587,ἀνεκτός,"
		bearable, sufferable, tolcrable,
    	",1
1588,ὕστερον,"
		the afterbirth,
    	",1
1589,ὕστερος,"
		latter, last,
    	",2
1590,ἄλλοτε,"
		at another time
    	",4
1591,ἐρέσσω,"
		row,
    	",1
1592,ῥέζω,"
		y
    	",1
1593,ῥέζω2,"
		dye
    	",1
1594,δέχομαι,"
		take, accept, receive,
    	",1
1595,ἐκπίνω,"
		drink out
    	",2
1596,αἶνος,"
		tale, story
    	",2
1597,αἰνέω,"
		tell, speak of
    	",2
1598,αἰνός,"
		dread, horrible
    	",2
1599,αἰτέω,"
		ask, beg
    	",1
1600,δεύτερος,"
		second,
    	",1
1601,αὖθις,"
		back, back again,
    	",3
1602,πρόφρων,"
		with forward mind
    	",1
1603,προφράζω,"
		tell
    	",1
1604,τέος,"
		thing
    	",1
1605,τεός,"
		your
    	",1
1606,χαίρω,"
		rejoice, be glad,
    	",1
1607,ζείδωρος,"
		zea-giving
    	",1
1608,ἄρουρα,"
		a ro u ra i
    	",1
1609,ἀμβρόσιος,"
		immortal, divine,
    	",1
1610,ἀμβροσία,"
		immortality,
    	",1
1611,ἀμβροσίη,"
		ambrosia
    	",1
1612,νέκταρ,"
		nectar,
    	",1
1613,ἀπορρώξ,"
		broken off, abrupt, sheer, precipitous,
    	",1
1614,φάτης,"
		talker, liar,
    	",1
1615,φάτις,"
		voice from heaven
    	",1
1616,φατός,"
		slain, dead,
    	",1
1617,αἶθοψ,"
		fiery-looking
    	",1
1618,ἀφραδία,"
		folly, thoughtlessness,
    	",1
1619,μειλίχιος,"
		gentle, soothing
    	",1
1620,ἐρωτάω,"
		ask,
    	",1
1621,ἐξεράω,"
		evacuate,
    	",1
1622,ἐξερέω,"
		will speak
    	",1
1623,ἐξερέω2,"
		inquire into
    	",1
1624,ὑφίστημι,"
		place
    	",1
1625,Οὖτις,"
		Nobody, Noman
    	",1
1626,κικλήσκω,"
		call, summon
    	",1
1627,μήτηρ,"
		mother
    	",1
1628,πατήρ,"
		pitṛ[snull ]u
    	",1
1629,πύματος,"
		hindmost, last
    	",1
1630,πρόσθεν,"
		before
    	",1
1631,ἀνακλίνω,"
		lean
    	",1
1632,πίπτω,"
		Exc. ex libris Herodiani
    	",1
1633,ὕπτιος,"
		laid on one's back,
    	",1
1634,ἀποδοχμόω,"
		bend sideways,
    	",1
1635,παχύς,"
		thick, stout
    	",1
1636,πῆχυς,"
		forearm
    	",1
1637,αὐχήν,"
		neck, throat,
    	",1
1638,κάδος,"
		jar
    	",4
1639,πανδαμάτωρ,"
		the all-subduer, all-tamer
    	",1
1640,φάρυγξ,"
		throat,
    	",1
1641,ἐκσεύομαι,"
		rush out
    	",2
1642,ψωμός,"
		morsel, bit,
    	",1
1643,ἐρεύγομαι,"
		belch out, disgorge,
    	",1
1644,ἐρεύγομαι2,"
		bellow, roar,
    	",1
1645,οἰνοβαρείων,"
		to be heavy
    	",1
1646,σποδέω,"
		pound, smite, crush
    	",1
1647,σποδόομαι,"
		to be burnt to ashes
    	",1
1648,σποδός,"
		wood-ashes, embers
    	",1
1649,θερμαίνω,"
		warm, heat
    	",1
1650,θάρσυνος,"
		relying on
    	",1
1651,θαρσύνω,"
		encourage, embolden
    	",1
1652,ὑποδείδω,"
		shrink in fear under, cower before,
    	",1
1653,ἀναδύνω,"
		come to the top of the water,
    	",1
1654,τάχα,"
		quickly, presently, forthwith
    	",1
1655,ταχύς,"
		swift, fleet
    	",1
1656,τήκω,"
		melt, melt down
    	",1
1657,ἐλάινος,"
		of olive-wood
    	",1
1658,ἅπτω,"
		fasten
    	",1
1659,διαφαίνω,"
		show through, let
    	",1
1660,ἱστάω,"
[definition unavailable]
",1
1661,θάρσος,"
		courage
    	",1
1662,ἐμπνέω,"
		blow
    	",1
1663,δαίμων,"
		god, goddess,
    	",1
1664,ἐνερείδω,"
		thrust in,
    	",1
1665,ἐφύπερθε,"
		above, atop
    	",1
1666,ἐρείδω,"
		cause to lean, prop,
    	",1
1667,τρυπάω,"
		bore, pierce through,
    	",1
1668,δόρυ,"
		stem, tree,
    	",1
1669,τρύπανον,"
		borer, auger,
    	",1
1670,ἔνερθε,"
		from beneath, up from below,
    	",1
1671,ὑποσείω,"
		rotate, spin round,
    	",1
1672,ἱμάς,"
		leathern strap
    	",1
1673,ἑκάτερθε,"
		on each side, on either hand,
    	",1
1674,τρέχω,"
		run,
    	",1
1675,ἐμμένω,"
		abide in
    	",1
1676,ἐμμενής,"
		abiding in
    	",1
1677,πυριηκής,"
		with fiery point
    	",1
1678,αἷμα,"
		blood
    	",1
1679,αἱμάς,"
		gush, stream of blood
    	",1
1680,περιρρέω,"
		flow round
    	",1
1681,θέρμος,"
		lupine, Lupinus albus
    	",1
1682,θέρμω,"
		heat, make hot
    	",1
1683,θερμός,"
		hot
    	",1
1684,βλέφαρον,"
		eyelids
    	",1
1685,βλεφαρίς,"
		eyelash
    	",1
1686,ὀφρύη,"
[definition unavailable]
",1
1687,ὀφρύς,"
		the brow, eyebrow
    	",1
1688,ὀφρυάω,"
		to have ridges
    	",1
1689,ὀφρυάζω,"
		signify
    	",1
1690,εὕω,"
		singe
    	",1
1691,ἀυτμή,"
		breath
    	",1
1692,γλήνη,"
		eyeball
    	",1
1693,σφαραγέομαι,"
		burst with a noise, crackle, sputter
    	",2
1694,ῥίζα,"
		root
    	",1
1695,χάλκεος,"
		of copper
    	",1
1696,χαλκεύς,"
		coppersmith,
    	",1
1697,χαλκόω,"
		turn to bronze,
    	",1
1698,χαλκοῦς,"
		copper coin
    	",1
1699,πέλεκυς,"
		axe
    	",1
1700,σκέπαρνον,"
		carpenter's axe, adze
    	",1
1701,ὑδατίς,"
		watery vesicle, hydatid,
    	",1
1702,ψυχρός,"
		cold,
    	",1
1703,βάπτης,"
		dipper, bather
    	",1
1704,βάπτω,"
		dip,
    	",1
1705,βαπτός,"
		dipped, dyed,
    	",1
1706,ἰάχω,"
		cry, shout
    	",1
1707,φαρμάσσω,"
		treat by using
    	",1
1708,σίδηρον,"
[definition unavailable]
",1
1709,σίδηρος,"
		iron
    	",1
1710,σιδήρεος,"
		made of iron
    	",1
1711,σιδηρόω,"
		overlay with iron
    	",1
1712,σίζω,"
		hiss
    	",1
1713,σμερδαλέος,"
		terrible to look on, fearful
    	",1
1714,οἰμώσσω,"
[definition unavailable]
",1
1715,οἰμώζω,"
		wail aloud, lament,
    	",1
1716,ἐξερύω,"
		draw out of,
    	",1
1717,ἐκρύομαι,"
		deliver,
    	",1
1718,φύρω,"
		mix
    	",1
1719,αἱματίς,"
		blood-redcloak
    	",1
1720,ῥίπτω,"
		throw, cast, hurl
    	",1
1721,ἄλυς,"
		agitation,
    	",1
1722,ἀλύω,"
		to be deeply stirred, excited:
    	",1
1723,ἠπύω,"
		call to
    	",1
1724,ἀμφίς,"
		on both sides,
    	",1
1725,ἀκρία,"
		goddess of the citadel
    	",1
1726,ἠνεμόεις,"
		windy, airy
    	",1
1727,βόα,"
		fish
    	",1
1728,βόειος,"
		of an ox
    	",1
1729,βοάω,"
		cry aloud, shout
    	",1
1730,βοείη,"
		an ox-hide, ox-hide shield
    	",1
1731,βοεύς,"
		rope of ox-hide
    	",1
1732,βοή,"
		loud cry, shout
    	",1
1733,φοιτάω,"
		go to and fro, backwards and forwards,
    	",1
1734,ἄλλοθεν,"
		from another place
    	",2
1735,ἕε,"
		him
    	",1
1736,τίπτε,"
		why pray?
    	",1
1737,Πολύφημος,"
		Polyphēmus.
    	",2
1738,πολύφημος,"
		abounding in songs and legends,
    	",2
1739,ἀράω2,"
		to damage
    	",1
1740,ἀρέομαι,"
[definition unavailable]
",1
1741,ἀρημένος,"
		distressed, worn out,
    	",1
1742,ἀοιδή,"
		song,
    	",1
1743,ὧδε,"
		in this wise, thus,
    	",1
1744,ᾠδή,"
		song, lay, ode,
    	",1
1745,ᾠδός,"
		singer,
    	",1
1746,ἄυπνος,"
		sleepless, wakeful
    	",1
1747,ἄμμος,"
[definition unavailable]
",1
1748,βρότος,"
		blood that has run from a wound, gore
    	",1
1749,βροτός,"
		mortal man
    	",1
1750,ἀέκων,"
		involuntary, constrained
    	",1
1751,κτείνω,"
		kill, slay
    	",2
1752,βία,"
		bodily strength, force
    	",1
1753,κρατερός,"
		strong, stout, mighty
    	",1
1754,πτερόεις,"
		feathered, winged
    	",1
1755,ἀγορεύω,"
		speak in the assembly, harangue
    	",1
1756,βιάζω,"
		constrain
    	",1
1757,νόσος,"
		sickness, disease, plague,
    	",1
1758,νοῦσος,"
		sickness,
            illness, disease.
    	",1
1759,πάτριος,"
		of
    	",1
1760,πατριά,"
		lineage, descent
    	",1
1761,πατριάζω,"
		take after one's father
    	",1
1762,ἄπειμι,"
		sum
    	",1
1763,ἄπειμι2,"
		ibo
    	",1
1764,γελάω,"
		laugh
    	",1
1765,Κήρ,"
		the goddess of death
    	",2
1766,κήρ,"
		the goddess of death
    	",2
1767,κήρα,"
		cera, wax tablet,
    	",2
1768,κῆρ,"
		heart
    	",2
1769,κηρίς,"
[definition unavailable]
",2
1770,κηρός,"
		bees-wax
    	",2
1771,ὄνομαι,"
		blame, find fault with, treat scornfully,
    	",1
1772,ἐξαπατάω,"
		deceive
    	",1
1773,μήτις,"
		do I
    	",1
1774,μῆτις,"
		counsel
    	",1
1775,ἄμυμος,"
[definition unavailable]
",1
1776,ἀμύμων,"
		blameless, noble, excellent,
    	",1
1777,στεναχέω,"
[definition unavailable]
",1
1778,ὠδίνω,"
		to have the pains of childbirth, be in travail,
    	",1
1779,ὠδίς,"
		pangs
    	",1
1780,ὀδύνη,"
		pain of body,
    	",2
1781,ὀδυνάω,"
		cause
    	",2
1782,ψηλαφάω,"
		feel
    	",1
1783,εἴλω,"
		shut in
    	",1
1784,καθέζομαι,"
		sit down, take one's seat
    	",1
1785,πετάννυμι,"
		fly
    	",1
1786,στείχω,"
		walk, march, go
    	",1
1787,θύραζε,"
		to the door
    	",3
1788,θυράζω,"
		thrust out of doors
    	",3
1789,ἔλπω,"
		cause to hope
    	",1
1790,ὅπως,"
		how,
    	",2
1791,ὅπωϲ,"
		in any way whatever, ever so little,
    	",2
1792,ὅπω?,"
		how ever,
    	",2
1793,ὄχα,"
		far
    	",2
1794,ὄχος,"
		places of shelter
    	",2
1795,ὀχάομαι,"
		leap,
    	",2
1796,ὀχή,"
		prop, support
    	",2
1797,ὀχός,"
		firm, secure
    	",2
1798,ἄριστον,"
		morning meal, breakfast,
    	",1
1799,λύσις,"
		loosing, releasing, ransoming
    	",1
1800,ψύχω,"
		Phdr..
    	",2
1801,ἐγγύθεν,"
		from nigh at hand
    	",1
1802,εὐτρεφής,"
		well-fed
    	",1
1803,δασύμαλλος,"
		thick-fleeced, woolly,
    	",1
1804,καλέω,"
		call, summon
    	",1
1805,ἰοδνεφής,"
		dark as the flower
    	",1
1806,εἶρος,"
		wool
    	",1
1807,ἄκος,"
		cure, remedy
    	",1
1808,ἀκέω,"
[definition unavailable]
",1
1809,ἀκέω2,"
		to be silent
    	",1
1810,ἀκέων,"
		softly, silently
    	",1
1811,συνέργω,"
		shut up
    	",1
1812,ἐυστρεφής,"
		well-twisted
    	",1
1813,λύγος,"
		agnus castus, Vitex Agnus-castus, withy
    	",1
1814,λυγόω,"
		tie fast
    	",1
1815,εὕδω,"
		sleep
    	",1
1816,πέλωρ,"
		portent, prodigy, monster
    	",1
1817,πελωρίς,"
		mussel
    	",1
1818,εἰδοί,"
		Idus
    	",1
1819,τρέω,"
		flee from fear, flee away
    	",1
1820,μέσης,"
		a wind between
    	",1
1821,μέσος,"
		b
    	",1
1822,μεσάζω,"
		to be half-cooked
    	",1
1823,μεσόω,"
		to be in
    	",1
1824,τῷ,"
		therefore, in this wise, then,
    	",2
1825,ἴτης,"
[definition unavailable]
",1
1826,ἰτός,"
		ibo
    	",1
1827,σώω,"
[definition unavailable]
",1
1828,τρεῖς,"
		three
    	",1
1829,φάος,"
		light,
    	",1
1830,φώς,"
		man, wight;
    	",1
1831,ἐριστός,"
		that may be contested,
    	",1
1832,νῶτον,"
		back,
    	",2
1833,λάσιος,"
		shaggy, woolly
    	",1
1834,γαστήρ,"
		paunch, belly
    	",1
1835,ἐλύω,"
		roll round
    	",1
1836,ἄωτον,"
		the choicest, the flower of its kind
    	",1
1837,ἄωτος,"
		without ears,
    	",1
1838,ἀωτέω,"
		sleep,
    	",1
1839,νωλεμές,"
		without pause, unceasingly,
    	",1
1840,στρέφω,"
		Aër.
    	",1
1841,τλάω,"
		suffer, undergo
    	",1
1842,νομόνδε,"
		to pasture,
    	",1
1843,θῆλυς,"
		female
    	",1
1844,θηλέω,"
		to be full of, abound in
    	",1
1845,μηκάομαι,"
		bleat
    	",1
1846,ἀνήμελκτος,"
		unmilked,
    	",1
1847,οὖθαρ,"
		udder
    	",1
1848,Ἄνακες,"
		the Dioscuri, Pollux and Castor,
    	",1
1849,τείρω,"
		oppress, distress, weaken
    	",1
1850,ὀρθός,"
		straight,
    	",1
1851,ὀρθόω,"
		set straight,
    	",1
1852,νοέω,"
		Excerpta e libris Herodiani
    	",1
1853,εἰροπόκος,"
		wool-fleeced, woolly
    	",1
1854,στέρνον,"
		breast, chest
    	",1
1855,ὕστατος,"
		last,
            hindmost.
    	",2
1856,λάχνος,"
		glutton,
    	",1
1857,πυκινός,"
		shrewd
    	",1
1858,πυκνός,"
[definition unavailable]
",1
1859,φρονέω,"
		to be minded,
    	",1
1860,κριός,"
		ram
    	",1
1861,πέπων,"
		cooked by the sun, ripe
    	",1
1862,πάρος,"
		aforetime, formerly
    	",1
1863,Νέμειος,"
		Nemean
    	",1
1864,Νεμέα,"
		wooded district
    	",1
1865,τέρην,"
		soft, delicate
    	",1
1866,πόα,"
		grass,
    	",1
1867,ποίησις,"
		fabrication, creation, production,
    	",1
1868,ποῖος,"
		of what kind?
    	",1
1869,ποιός,"
		of a certain nature, kind,
    	",1
1870,βίβημι,"
		to stride
    	",1
1871,βιβάω,"
		stride
    	",1
1872,βιβάζω,"
		cause to mount, exalt
    	",1
1873,ῥόα,"
		pomegranate-tree, Punica Granatum
    	",1
1874,ῥοάς,"
		shedding of fruit
    	",1
1875,ῥοή,"
		river, stream
    	",1
1876,ποταμός,"
		river, stream,
    	",1
1877,ἀφικάνω,"
		arrive at,
    	",1
1878,σταθμόνδε,"
		to the stall, homewards
    	",1
1879,ἀπονέομαι,"
		go away, depart,
    	",1
1880,ἀπονέω,"
		unload
    	",1
1881,ἀπονέω2,"
		to be without pain,
    	",1
1882,πανύστατος,"
		last of all
    	",1
1883,ἀνακτός,"
		drawn from a spring,
    	",1
1884,ποθέω,"
		long for, yearn after
    	",1
1885,ἐξαλαόω,"
		blind utterly,
    	",1
1886,λυγρός,"
		baneful, mournful
    	",1
1887,φύζω,"
[definition unavailable]
",1
1888,ὁμοφρονέω,"
		to be of the same mind, have the same thoughts,
    	",1
1889,ποτιφωνήεις,"
[definition unavailable]
",1
1890,προσφωνήεις,"
		addressing, capable of addressing
    	",1
1891,κεῖνος,"
		that, those
    	",1
1892,κεινός,"
[definition unavailable]
",1
1893,κενός,"
		empty
    	",1
1894,μένος,"
		might, force
    	",1
1895,ἠλασκάζω,"
		shun, flee from
    	",1
1896,ἄλλυδις,"
		elsewhither,
    	",1
1897,ἅλλομαι,"
		sal-
    	",1
1898,ἄλλῃ,"
		in another place, elsewhere
    	",1
1899,θείνω,"
		strike
    	",1
1900,ῥαίω,"
		break, shiver, shatter
    	",1
1901,ῥαίζω,"
		to grow easier, find relief, recover from illness
    	",1
1902,λωφάω,"
		rest, give over
    	",1
1903,λωφέω,"
[definition unavailable]
",1
1904,κακόω,"
		maltreat, distress
    	",1
1905,οὐτιδανός,"
		of no account, worthless
    	",2
1906,πέντε,"
		five
    	",1
1907,ἠβαιός,"
		small
    	",1
1908,ὑπολύω,"
		loosen beneath
    	",1
1909,ταναύπους,"
		stretching the feet, long-striaing, long-shanked
    	",1
1910,περιτροπέω,"
		revolving
    	",1
1911,ἀσπάσιος,"
		welcome, gladly welcomed,
    	",1
1912,γοάω,"
		groan, weep
    	",1
1913,νεύω,"
		incline in any direction
    	",1
1914,κλείω,"
		shut, close, bar
    	",1
1915,γέγωνα,"
		shout so as to make oneself heard
    	",1
1916,γεγωνός,"
		loud-sounding, sonorous
    	",1
1917,κερτόμιος,"
		heart-cutting, stinging, reproachful
    	",1
1918,κερτομέω,"
		taunt, sneer at
    	",1
1919,ἄναλκις,"
		without strength, impotent, feeble,
    	",1
1920,σπάω,"
		draw
    	",1
1921,λίαν,"
		very, exceedingly
    	",1
1922,ἔσθω,"
		eat,
    	",1
1923,εἰστίθημι,"
		put into, place in,
    	",1
1924,χολόω,"
		anger, provoke,
    	",1
1925,κηρόθι,"
		with all the heart, heartily
    	",1
1926,ἀπορρήγνυμι,"
		break off,
    	",1
1927,ἀπορρήσσω,"
[definition unavailable]
",1
1928,κορύπτω,"
		butt with the head
    	",1
1929,προπάροιθε,"
		before, in front of,
    	",1
1930,κυανόπρῳρος,"
		darkprowed
    	",2
1931,κλύζω,"
		wash, dash over
    	",2
1932,κατέρχομαι,"
		go down
    	",2
1933,παλιρρόθιος,"
		back-rushing, refluent
    	",1
1934,πλημμυρίς,"
		a rise of the sea
    	",1
1935,πλημυρίς,"
		rise of the sea, as at flood-tide,
    	",1
1936,θεμόω,"
		drove
    	",2
1937,περιμήκης,"
		very tall
    	",1
1938,κοντός,"
		short
    	",1
1939,ἐμβάλλω,"
		throw in
    	",1
1940,κώπη,"
		handle
    	",1
1941,κωπάω,"
[definition unavailable]
",1
1942,κωπέω,"
		furnish with oars
    	",1
1943,κωπεύς,"
		pieces of wood fit for making oars, spars
    	",1
1944,ὑπέκ,"
		out from under, from beneath, away from,
    	",1
1945,κακότης,"
		badness
    	",1
1946,κατανεύω,"
		nod assent
    	",1
1947,προπίτνω,"
		fall prostrate,
    	",1
1948,δίς,"
		twice, doubly,
    	",1
1949,πράσσω,"
		pass through, pass over,
    	",1
1950,ἐρητύω,"
		restrain, check,
    	",1
1951,ἐρεθίζω,"
		rouse to anger, rouse to fight,
    	",1
1952,πόντονδε,"
		into the sea,
    	",1
1953,βέλος,"
		missile
    	",1
1954,φθέγγομαι,"
		utter a sound
    	",1
1955,ἄραξ,"
[definition unavailable]
",1
1956,ἄραξις,"
		dashing, beating,
    	",1
1957,ἀράξα,"
[definition unavailable]
",1
1958,ἀράσσω,"
		smite, dash in pieces,
    	",1
1959,κεφαλή,"
		head
    	",1
1960,μάρμαρον,"
		marble
    	",1
1961,μάρμαρος,"
		crystalline rock
    	",1
1962,ὀκριόεις,"
		having many points
    	",1
1963,ἰάομαι,"
		j
    	",2
1964,πειθός,"
[definition unavailable]
",1
1965,κοτέω,"
		bear
    	",1
1966,καταθνητός,"
		mortal
    	",1
1967,ἐρῶ,"
		verbum,
    	",1
1968,εἰρέω,"
		say
    	",1
1969,ἀεικέλιος,"
		illfavored
    	",1
1970,ἀεικής,"
		unseemly, shameful
    	",1
1971,ἀλαωτύς,"
		blinding
    	",1
1972,πτολιπόρθιος,"
		sacker of
            cities
    	",2
1973,Λαέρτης,"
		Laertes
    	",2
1974,οἰκία,"
		building, house, dwelling,
    	",2
1975,οἰκίον,"
		house, palace,
    	",2
1976,μῦθος,"
		word, speech
    	",1
1977,πόποι,"
		oh strange! oh shame!
    	",1
1978,παλαίφατος,"
		spoken long ago
    	",1
1979,θέσφατος,"
		spoken by God, decreed
    	",1
1980,ἐνθάδε,"
		thither, hither,
    	",1
1981,μάντις,"
		diviner, seer, prophet
    	",1
1982,ἐύς,"
		good, brave, noble
    	",1
1983,Τήλεμος,"
[definition unavailable]
",1
1984,Εὐρυμίδης,"
		son of
            Eurymus
    	",1
1985,μαντόσυνος,"
		oracular
    	",1
1986,μαντοσύνη,"
		the art of divination
    	",1
1987,καίνυμαι,"
		to surpass, excel
    	",1
1988,μαντεύομαι,"
		divine, prophesy
    	",1
1989,καταγηράσκω,"
		grow old
    	",1
1990,ἔφημαι,"
		to be seated on, sit on
    	",1
1991,τελευτάω,"
		bring to pass, accomplish
    	",1
1992,ὀπίσσω,"
[definition unavailable]
",1
1993,ὀπίσω,"
		backwards,
    	",1
1994,ὀπίζω,"
		extract juice from,
    	",1
1995,Χείρων,"
		Cheiron,
    	",1
1996,χείρων,"
		mcaner, inferior,
    	",1
1997,χειρόω,"
[definition unavailable]
",1
1998,χειρόω2,"
		worst, master, subdue,
    	",1
1999,ἁμαρτάνω,"
		Acut. (Sp.)
    	",1
2000,ἁμαρτέω,"
		attend, accompany,
    	",1
2001,ὀπωπή,"
		a sight
    	",1
2002,ἐνθαδί,"
[definition unavailable]
",1
2003,ὀλίγος,"
		little, small,
    	",1
2004,ἄκικυς,"
		powerless, feeble
    	",1
2005,ἀλαόω,"
		to blind
    	",1
2006,δεῦρο,"
		hither,
    	",1
2007,θειάζω,"
		to be inspired, frenzied
    	",1
2008,θειόω,"
		fumigate with brimstone
    	",1
2009,πομπή,"
		conduct, escort,
    	",1
2010,ὀτρύνω,"
		stir up, egg on, encourage
    	",1
2011,Ἐννοσίγαιος,"
		Earth-shaker,
    	",1
2012,ἕμος,"
[definition unavailable]
",2
2013,εὐχέτης,"
		one who prays
    	",1
2014,εὐχετάομαι,"
		pray
    	",1
2015,θνητός,"
		liable to death, mortal
    	",1
2016,αἰών,"
		aevum
    	",1
2017,εὖνις,"
		bedfellow, wife
    	",1
2018,δόμος,"
		domus
    	",1
2019,Ἅιδης,"
		ao
    	",1
2020,εἴσω,"
		to within, into :
    	",1
2021,ἵζω,"
		si-sd-ō
    	",1
2022,ὀρέγω,"
		reach, stretch, stretch out,
    	",1
2023,ἀστερόεις,"
		like a star, sparkling,
    	",1
2024,κλύω,"
		hear
    	",1
2025,γαιήοχος,"
		earth-moving, earth-carrying
    	",1
2026,κυανοχαίτης,"
		dark-haired
    	",1
2027,ἐτεός,"
		true, genuine
    	",1
2028,μοιρίς,"
		divided
    	",1
2029,ὀψέ,"
		after a long time, at length, late
    	",1
2030,ἀλλότριος,"
		of
    	",1
2031,ἀλλοτριάζω,"
		to be ill-disposed
    	",1
2032,Εὖρος,"
		the East wind
    	",1
2033,ἐύρρους,"
		flowing well
    	",1
2034,πῆμα,"
		misery, calamity
    	",1
2035,ἐκλύω,"
		set free,
    	",1
2036,ἐξαῦτις,"
		once more, anew,
    	",1
2037,ἦκα,"
		slightly, a little
    	",1
2038,ἠκή,"
		edge, meeting-point
    	",1
2039,ἠκής,"
		sharp
    	",1
2040,ἐπιδινέω,"
		whirl for
    	",1
2041,ἐπερείδω,"
		drive against,
    	",1
2042,ἀπέλεθρος,"
		immeasurable,
    	",1
2043,μετόπισθε,"
		from behind, backwards, back
    	",1
2044,τυτθός,"
		little, small, young,
    	",1
2045,δεύω2,"
		miss, want,
    	",1
2046,οἰήιον,"
		a rudder, helm
    	",1
2047,πρόσω,"
		forwards, onwards
    	",1
2048,προσίημι,"
		let come to
    	",1
2049,ἀθρόος,"
		in crowds, heaps
    	",1
2050,προσδέχομαι,"
		receive favourably, accept
    	",1
2051,ψάμαθος,"
		sand of the sea-shore,
    	",1
2052,δαίω,"
		dunō óti
    	",1
2053,δαίω2,"
		divide
    	",1
2054,ἔξοχος,"
		standing out, jutting,
    	",1
2055,ἐξοχή,"
		prominence,
    	",1
2056,κελαινεφής,"
		black with clouds
    	",1
2057,Κρονίδης,"
		son of Cronos
    	",1
2058,ἀνάσσω,"
		to be lord, master,
    	",1
2059,μηρία,"
		thigh-bones
    	",1
2060,ἐμπάζομαι,"
		busy oneself about, take heed of, care for
    	",1
2061,ἱρός,"
[definition unavailable]
",1
2062,ἰρών,"
		region
    	",1
2063,μερμηρίζω,"
		to be anxious
    	",1
