book,line,ship,epithet_gr,epithet_en,number,case,clause,scansion
4,634,νῆά,,,s,a,νῆά μοι οἴχετ’ ἄγων·,-uu -uu -uu -- -uu --
4,646,νῆα,μέλαιναν,black,s,a,"ἤ σε βίηι ἀέκοντος ἀπηύρα νῆα μέλαιναν,",-uu -uu -uu -- -uu --
4,666,νῆα,,,s,a,"εἰ τοσσῶνδ’ ἀέκητι νέος πάϊς οἴχεται αὔτως | νῆα ἐρυσσάμενος κρίνας τ’ ἀνὰ δῆμον ἀρίστους,",-uu -uu -- -uu -uu --
4,669,νῆα,θοὴν,swift,s,a,"ἀλλ’ ἄγε μοι δότε νῆα θοὴν καὶ εἴκοσ’ ἑταίρους,",-uu -uu -uu -- -uu --
4,708,νηῶν,ὠκυπόρων,swift-sailing,p,g,"οὐδέ τί μιν χρεώ | νηῶν ὠκυπόρων ἐπιβαινέμεν,",-- -uu -uu -uu -uu --
4,731,νῆα,κοίλην,hollow,s,a,ὁππότε κεῖνος ἔβη κοίλην ἐπὶ νῆα μέλαιναν;,-uu -uu -- -uu -uu --
4,731,νῆα,μέλαιναν,black,s,a,ὁππότε κεῖνος ἔβη κοίλην ἐπὶ νῆα μέλαιναν;,-uu -uu -- -uu -uu --
4,779,νῆα,θοὴν,swift,s,a,βὰν δ’ ἰέναι ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης.,-uu -uu -uu -- -uu --
4,780,νῆα,,,s,a,"νῆα μὲν οὖν πάμπρωτον ἁλὸς βένθόσδε ἔρυσσαν,",-uu -- -uu -- -uu --
4,781,νηῒ,μελαίνηι,black,s,d,"ἐν δ’ ἱστόν τ’ ἐτίθεντο καὶ ἱστία νηῒ μελαίνηι,",-- -uu -uu -uu -uu --
4,817,νηός,κοίλης,hollow,s,g,"νῦν αὖ παῖς ἀγαπητὸς ἔβη κοίλης ἐπὶ νηός,",-- -uu -uu -- -uu --
5,16,νῆες,ἐπήρετμοι,with oars,p,n,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι,",-- -uu -uu -- -uu --
5,27,νηῒ,,,s,d,μνηστῆρες δ’ ἐν νηῒ παλιμπετὲς ἀπονέωνται.,-- -- -uu -uu -uu --
5,37,νηῒ,,,s,d,"πέμψουσιν δ’ ἐν νηῒ φίλην ἐς πατρίδα γαῖαν,",-- -- -uu -- -uu --
5,131,νῆα,θοὴν,swift,s,a,ἐπεί οἱ νῆα θοὴν ἀργῆτι κεραυνῶι | Ζεὺς ἐλάσας ἐκέασσε μέσωι ἐνὶ οἴνοπι πόντωι.,-uu -- -uu -- -uu --
5,141,νῆες,ἐπήρετμοι,with oars,p,n,"οὐ γάρ μοι πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι,",-- -uu -uu -- -uu --
5,175,νῆες,ἐῗσαι,well-balanced,p,n,τὸ δ’ οὐδ’ ἐπὶ νῆες ἐῗσαι | ὠκύποροι περόωσιν ἀγαλλόμεναι Διὸς οὔρωι.,-- -uu -uu -uu -uu --
5,175,νῆες,ὠκύποροι,swift-sailing,p,n,τὸ δ’ οὐδ’ ἐπὶ νῆες ἐῗσαι | ὠκύποροι περόωσιν ἀγαλλόμεναι Διὸς οὔρωι.,-- -uu -uu -uu -uu --
5,249,νηὸς,εὐρείης,broad,s,g,"ὅσσον τίς τ’ ἔδαφος νηὸς τορνώσεται ἀνήρ | φορτίδος εὐρείης,",-- -uu -- -- -uu --
5,404,νηῶν,,,p,g,"οὐ γὰρ ἔσαν λιμένες νηῶν ὀχοὶ οὐδ’ ἐπιωγαί,",-uu -uu -- -uu -uu --
6,264,νῆες,ἀμφιέλισσαι,curved,p,n,νῆες δ’ ὁδὸν ἀμφιέλισσαι | εἰρύαται,-- -- -- -uu -uu --
6,268,νηῶν,μελαινάων,black,p,g,"ἔνθα δὲ νηῶν ὅπλα μελαινάων ἀλέγουσιν,",-uu -- -uu -- -uu --
6,271,νεῶν,,,p,g,"ἀλλ’ ἱστοὶ καὶ ἐρετμὰ νεῶν καὶ νῆες ἐῗσαι,",-- -uu -uu -- -uu --
6,271,νῆες,ἐῗσαι,well-balanced,p,n,"ἀλλ’ ἱστοὶ καὶ ἐρετμὰ νεῶν καὶ νῆες ἐῗσαι,",-- -uu -uu -- -uu --
6,278,νηός,,,s,g,"ἦ τινά που πλαγχθέντα κομίσσατο ἧς ἀπὸ νηός | ἀνδρῶν τηλεδαπῶν,",-uu -- -uu -uu -uu --
7,9,νέες,ἀμφιέλισσαι,curved,p,n,"τήν ποτ’ Ἀπείρηθεν νέες ἤγαγον ἀμφιέλισσαι,",-uu -- -uu -uu -uu --
7,34,νηυσὶ,θοῆισιν,swift,p,d,"νηυσὶ θοῆισιν τοί γε πεποιθότες ὠκείηισιν | λαῖτμα μέγ’ ἐκπερόωσιν,",-uu -- -uu -uu -- --
7,36,νέες,ὠκεῖαι,quick,p,n,τῶν νέες ὠκεῖαι ὡς εἰ πτερὸν ἠὲ νόημα.,-uu -- -- -uu -uu --
7,43,νῆας,ἐΐσας,well-balanced,p,a,"θαύμαζεν δ’ Ὀδυσεὺς λιμένας καὶ νῆας ἐΐσας | αὐτῶν θ’ ἡρώων ἀγορὰς καὶ τείχεα μακρά | ὑψηλά,",-- -uu -uu -- -uu --
7,109,νῆα,θοὴν,swift,s,a,"ὅσσον Φαίηκες περὶ πάντων ἴδριες ἀνδρῶν | νῆα θοὴν ἐνὶ πόντωι ἐλαυνέμεν,",-uu -uu -uu -uu -uu --
7,249,νῆα,θοὴν,swift,s,a,ἐπεί μοι νῆα θοὴν ἀργῆτι κεραυνῶι | Ζεὺς ἐλάσας ἐκέασσε μέσωι ἐνὶ οἴνοπι πόντωι.,-uu -- -uu -- -uu --
7,252,νεὸς,ἀμφιελίσσης,curved,s,g,αὐτὰρ ἐγὼ τρόπιν ἀγκὰς ἑλὼν νεὸς ἀμφιελίσσης | ἐννῆμαρ φερόμην·,-uu -uu -uu -uu -uu --
7,328,νῆες,,,p,n,ὅσσον ἄρισται | νῆες ἐμαὶ καὶ κοῦροι ἀναρριπτεῖν ἅλα πηδῶι.,-uu -- -uu -- -uu --
8,5,νηυσὶ,,,p,d,"ἥ σφιν παρὰ νηυσὶ τέτυκτο,",-- -uu -- -uu -uu --
8,34,νῆα,μέλαιναν,black,s,a,"ἀλλ’ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν | πρωτόπλοον,",-uu -uu -uu -uu -uu --
8,50,νῆα,,,s,a,"αὐτὰρ ἐπεί ῥ’ ἐπὶ νῆα κατήλυθον ἠδὲ θάλασσαν,",-uu -uu -uu -uu -uu --
8,51,νῆα,μέλαιναν,black,s,a,"νῆα μὲν οἵ γε μέλαιναν ἁλὸς βένθοσδε ἔρυσσαν,",-uu -uu -- -uu -uu --
8,52,νηῒ,μελαίνηι,black,s,d,"ἐν δ’ ἱστόν τ’ ἐτίθεντο καὶ ἱστία νηῒ μελαίνηι,",-- -uu -uu -uu -uu --
8,151,νηῦς,,,s,n,ἀλλά τοι ἤδη | νηῦς τε κατείρυσται καὶ ἐπαρτέες εἰσὶν ἑταῖροι.,-uu -uu -uu -uu -uu --
8,161,νηῒ,πολυκλήϊδι,with many benches,s,d,"ὅς θ’ ἅμα νηῒ πολυκλήϊδι θαμίζων,",-uu -uu -- -- -uu --
8,232,νῆα,,,s,a,ἐπεὶ οὐ κομιδὴ κατὰ νῆα ἦεν ἐπηετανός·,
8,445,νηῒ,μελαίνηι,black,s,d,ὁππότ’ ἂν αὖτε | εὕδηισθα γλυκὺν ὕπνον ἐὼν ἐν νηῒ μελαίνηι.,-- -uu -uu -- -uu --
8,500,νηῶν,ἐϋσσέλμων,well-benched,p,g,"ὡς οἳ μὲν ἐϋσσέλμων ἐπὶ νηῶν | βάντες ἀπέπλειον πῦρ ἐν κλισίηισι βαλόντες | Ἀργεῖοι,",-uu -- -uu -- -uu --
8,556,νῆες,,,p,n,ὄφρα σε τῆι πέμψωσι τιτυσκόμεναι φρεσὶ νῆες·,-uu -- -uu -uu -uu --
8,558,νῆες,,,p,n,"τά τ’ ἄλλαι νῆες ἔχουσιν,",-uu -uu -uu -- -uu --
9,54,νηυσὶ,θοῆισιν,swift,p,d,στησάμενοι δ’ ἐμάχοντο μάχην παρὰ νηυσὶ θοῆισιν.,-uu -uu -uu -uu -uu --
9,60,νηὸς,,,s,g,ἓξ δ’ ἀφ’ ἑκάστης νηὸς ἐϋκνήμιδες ἑταῖροι | ὤλονθ’·,-uu -- -uu -- -uu --
9,64,νῆες,ἀμφιέλισσαι,curved,p,n,οὐδ’ ἄρα μοι προτέρω νῆες κίον ἀμφιέλισσαι | πρίν τινα τῶν δειλῶν ἑτάρων τρὶς ἕκαστον ἀῧσαι | οἳ θάνον ἐν πεδίωι Κικόνων ὕπο δηιωθέντες.,-uu -uu -- -uu -uu --
9,67,νηυσὶ,,,p,d,"νηυσὶ δ’ ἐπῶρσ’ ἄνεμον Βορέην νεφεληγερέτα Ζεύς | λαίλαπι θεσπεσίηι,",-uu -uu -uu -uu -uu --
9,72,νῆας,,,p,a,"καὶ τὰ μὲν ἐς νῆας κάθεμεν,",-uu -- -uu -- -uu --
9,86,νηυσὶν,θοῆις,swift,p,d,αἶψα δὲ δεῖπνον ἕλοντο θοῆις παρὰ νηυσὶν ἑταῖροι.,-uu -uu -uu -uu -uu --
9,98,νῆας,,,p,a,"τοὺς μὲν ἐγὼν ἐπὶ νῆας ἄγον κλαίοντας ἀνάγκηι,",-uu -uu -uu -- -uu --
9,99,νηυσὶ,γλαφυρῆισιν,hollowed,p,d,νηυσὶ δ’ ἔνι γλαφυρῆισιν ὑπὸ ζυγὰ δῆσα ἐρύσσας.,-uu-uu -uu -uu --
9,101,νηῶν,ὠκειάων,quick,p,g,"αὐτὰρ τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους | σπερχομένους νηῶν ἐπιβαινέμεν ὠκειάων,",-uu -- -uu -uu -- --
9,125,νέες,,,p,n,"οὐ γὰρ Κυκλώπεσσι νέες πάρα μιλτοπάρηοι,",-- -- -uu -uu -uu --
9,126,νηῶν,,,p,g,"οὐδ’ ἄνδρες νηῶν ἔνι τέκτονες,",-uu -- -uu -- -uu --
9,127,νῆας,ἐϋσσέλμους,well-benched,p,a,"οἵ κε κάμοιεν | νῆας ἐϋσσέλμους,",-uu -- -- -uu -uu --
9,129,νηυσὶν,,,p,d,οἷά τε πολλά | ἄνδρες ἐπ’ ἀλλήλους νηυσὶν περόωσι θάλασσαν·,-uu -- -- -uu -uu --
9,144,νηυσὶ,,,p,d,"ἀὴρ γὰρ περὶ νηυσὶ βαθεῖ’ ἦν,",-- -uu -uu -- -uu --
9,148,νῆας,ἐϋσσέλμους,well-benched,p,a,πρὶν νῆας ἐϋσσέλμους ἐπικέλσαι.,-uu -- -uu -- -uu --
9,149,νηυσὶ,,,p,d,"κελσάσηισι δὲ νηυσὶ καθείλομεν ἱστία πάντα,",-- -uu -uu -uu -uu --
9,156,νηῶν,,,p,g,"αὐτίκα καμπύλα τόξα καὶ αἰγανέας δολιχαύλους | εἱλόμεθ’ ἐκ νηῶν,",-uu -- -uu -uu -- --
9,159,νῆες,,,p,n,"νῆες μέν μοι ἕποντο δυώδεκα,",-- -uu -uu -uu -uu --
9,163,νηῶν,,,p,g,"οὐ γάρ πω νηῶν ἐξέφθιτο οἶνος ἐρυθρός,",-- -- -uu -- -uu --
9,173,νηΐ,,,s,d,"αὐτὰρ ἐγὼ σὺν νηΐ τ’ ἐμῆι καὶ ἐμοῖς ἑτάροισιν | ἐλθὼν τῶνδ’ ἀνδρῶν πειρήσομαι,",-uu -- -uu -uu -uu --
9,177,νηὸς,,,s,g,"ὣς εἰπὼν ἀνὰ νηὸς ἔβην,",-- -uu -uu -uu -uu --
9,194,νηΐ,,,s,d,"δὴ τότε τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους | αὐτοῦ πὰρ νηΐ τε μένειν καὶ νῆα ἔρυσθαι,",
9,194,νῆα,,,s,a,"δὴ τότε τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους | αὐτοῦ πὰρ νηΐ τε μένειν καὶ νῆα ἔρυσθαι,",
9,226,νῆα,θοὴν,swift,s,a,αὐτὰρ ἔπειτα | καρπαλίμως ἐπὶ νῆα θοὴν ἐρίφους τε καὶ ἄρνας | σηκῶν ἐξελάσαντας ἐπιπλεῖν ἁλμυρὸν ὕδωρ·,-uu -uu -uu -uu -uu --
9,279,νῆα,εὐεργέα,well-made,s,a,"ἀλλά μοι εἴφ’ ὅπηι ἔσχες ἰὼν εὐεργέα νῆα,",-uu -uu -uu -- -uu --
9,283,νέα,,,s,a,"νέα μέν μοι κατέαξε Ποσειδάων ἐνοσίχθων | πρὸς πέτρηισι βαλὼν ὑμῆς ἐπὶ πείρασι γαίης,",-uu -uu -uu -- -uu --
9,322,νηὸς,μελαίνης,black,s,a,"τὸ μὲν ἄμμες ἐΐσκομεν εἰσορόωντες | ὅσσον θ’ ἱστὸν νηὸς ἐεικοσόροιο μελαίνης | φορτίδος εὐρείης,",-- -- -uu -uu -uu --
9,465,νῆα,,,s,a,ὄφρ’ ἐπὶ νῆα | ἱκόμεθ’.,-uu -uu -uu -uu -uu --
9,482,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,κὰδ δ’ ἔβαλε προπάροιθε νεὸς κυανοπρώιροιο.,-- -uu -- -uu -uu -uu
9,495,νῆα,,,s,a,"ὃς καὶ νῦν πόντόνδε βαλὼν βέλος ἤγαγε νῆα | αὖτις ἐς ἤπειρον,",-- -uu -- -uu -uu --
9,535,νηὸς,,,s,g,νηὸς ἔπ’ ἀλλοτρίης,-- -uu -- -uu -uu --
9,539,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,"κὰδ δ’ ἔβαλεν μετόπισθε νεὸς κυανοπρώιροιο | τυτθόν,",-- -uu -- -uu -uu -uu
9,544,νῆες,ἐΰσσελμοι,well-benched,p,n,"ἔνθά περ ἄλλαι | νῆες ἐΰσσελμοι μένον ἁθρόαι,",-uu -- -uu -uu -uu --
9,456,νῆα,,,s,a,"νῆα μὲν ἔνθ’ ἐλθόντες ἐκέλσαμεν ἐν ψαμάθοισιν,",-uu -- -uu -uu -uu --
9,548,νηὸς,γλαφυρῆς,hollowed,s,g,"μῆλα δὲ Κύκλωπος γλαφυρῆς ἐκ νηὸς ἑλόντες | δασσάμεθ’,",-uu -- -uu -- -uu --
9,555,νῆες,ἐΰσσελμοι,well-benched,p,n,ἀλλ’ ὅ γε μερμήριζεν ὅπως ἀπολοίατο πᾶσαι | νῆες ἐΰσσελμοι καὶ ἐμοὶ ἐρίηρες ἑταῖροι.,-uu -- -uu -uu -uu --
